full_phrase,present_yo,present_tú,present_usted,present_nosotros,present_vosotros,present_ustedes,incomplete_past_yo,incomplete_past_tú,incomplete_past_usted,incomplete_past_nosotros,incomplete_past_vosotros,incomplete_past_ustedes,past_yo,past_tú,past_usted,past_nosotros,past_vosotros,past_ustedes,future_yo,future_tú,future_usted,future_nosotros,future_vosotros,future_ustedes,conditional_yo,conditional_tú,conditional_usted,conditional_nosotros,conditional_vosotros,conditional_ustedes,present_subjective_yo,present_subjective_tú,present_subjective_usted,present_subjective_nosotros,present_subjective_vosotros,present_subjective_ustedes,past_subjective_yo,past_subjective_tú,past_subjective_usted,past_subjective_nosotros,past_subjective_vosotros,past_subjective_ustedes,imperative_positive_yo,imperative_positive_tú,imperative_positive_usted,imperative_positive_nosotros,imperative_positive_vosotros,imperative_positive_ustedes,imperative_negative_yo,imperative_negative_tú,imperative_negative_usted,imperative_negative_nosotros,imperative_negative_vosotros,imperative_negative_ustedes,gerund,past_participle,adjective
"defender","defiendo","defiendes","defiende","defendemos","defendéis","defienden","defendía","defendías","defendía","defendíamos","defendíais","defendían","defendí","defendiste","defendió","defendimos","defendisteis","defendieron","defenderé","defenderás","defenderá","defenderemos","defenderéis","defenderán","defendería","defenderías","defendería","defenderíamos","defenderíais","defenderían","defienda","defiendas","defienda","defendamos","defendáis","defiendan","defendiera","defendieras","defendiera","defendiéramos","defendierais","defendieran",,"defiende","defienda","defendamos","defended","defiendan",,"defiendas","defienda","defendamos","defendáis","defiendan","defendiendo","defendido","defendido"
"despertarse","me despierto","te despiertas","se despierta","nos despertamos","os despertáis","se despiertan","me despertaba","te despertabas","se despertaba","nos despertábamos","os despertabais","se despertaban","me desperté","te despertaste","se despertó","nos despertamos","os despertasteis","se despertaron","me despertaré","te despertarás","se despertará","nos despertaremos","os despertaréis","se despertarán","me despertaría","te despertarías","se despertaría","nos despertaríamos","os despertaríais","se despertarían","me despierte","te despiertes","se despierte","nos despertemos","os despertéis","se despierten","me despertara","te despertaras","se despertara","nos despertáramos","os despertarais","se despertaran",,"despiértate","despiértese","despertémonos","despertaos","despiértense",,"te despiertes","despiértese","despertémonos","os despertéis","despiértense","despertándose","despertado","despertado"
"detener","detengo","detienes","detiene","detenemos","detenéis","detienen","detenía","detenías","detenía","deteníamos","deteníais","detenían","detuve","detuviste","detuvo","detuvimos","detuvisteis","detuvieron","detendré","detendrás","detendrá","detendremos","detendréis","detendrán","detendría","detendrías","detendría","detendríamos","detendríais","detendrían","detenga","detengas","detenga","detengamos","detengáis","detengan","detuviera","detuvieras","detuviera","detuviéramos","detuvierais","detuvieran",,"detén","detenga","detengamos","detened","detengan",,"detengas","detenga","detengamos","detengáis","detengan","deteniendo","detenido","detenido"
"detenerse","me detengo","te detienes","se detiene","nos detenemos","os detenéis","se detienen","me detenía","te detenías","se detenía","nos deteníamos","os deteníais","se detenían","me detuve","te detuviste","se detuvo","nos detuvimos","os detuvisteis","se detuvieron","me detendré","te detendrás","se detendrá","nos detendremos","os detendréis","se detendrán","me detendría","te detendrías","se detendría","nos detendríamos","os detendríais","se detendrían","me detenga","te detengas","se detenga","nos detengamos","os detengáis","se detengan","me detuviera","te detuvieras","se detuviera","nos detuviéramos","os detuvierais","se detuvieran",,"detente","deténgase","detengámonos","deteneos","deténganse",,"te detengas","deténgase","detengámonos","os detengáis","deténganse","deteniéndose","detenido","detenido"
"empezar","empiezo","empiezas","empieza","empezamos","empezáis","empiezan","empezaba","empezabas","empezaba","empezábamos","empezabais","empezaban","empecé","empezaste","empezó","empezamos","empezasteis","empezaron","empezaré","empezarás","empezará","empezaremos","empezaréis","empezarán","empezaría","empezarías","empezaría","empezaríamos","empezaríais","empezarían","empiece","empieces","empiece","empecemos","empecéis","empiecen","empezara","empezaras","empezara","empezáramos","empezarais","empezaran",,"empieza","empiece","empecemos","empezad","empiecen",,"empieces","empiece","empecemos","empecéis","empiecen","empezando","empezado","empezado"
"encender","enciendo","enciendes","enciende","encendemos","encendéis","encienden","encendía","encendías","encendía","encendíamos","encendíais","encendían","encendí","encendiste","encendió","encendimos","encendisteis","encendieron","encenderé","encenderás","encenderá","encenderemos","encenderéis","encenderán","encendería","encenderías","encendería","encenderíamos","encenderíais","encenderían","encienda","enciendas","encienda","encendamos","encendáis","enciendan","encendiera","encendieras","encendiera","encendiéramos","encendierais","encendieran",,"enciende","encienda","encendamos","encended","enciendan",,"enciendas","encienda","encendamos","encendáis","enciendan","encendiendo","encendido","encendido"
"encerrar","encierro","encierras","encierra","encerramos","encerráis","encierran","encerraba","encerrabas","encerraba","encerrábamos","encerrabais","encerraban","encerré","encerraste","encerró","encerramos","encerrasteis","encerraron","encerraré","encerrarás","encerrará","encerraremos","encerraréis","encerrarán","encerraría","encerrarías","encerraría","encerraríamos","encerraríais","encerrarían","encierre","encierres","encierre","encerremos","encerréis","encierren","encerrara","encerraras","encerrara","encerráramos","encerrarais","encerraran",,"encierra","encierre","encerremos","encerrad","encierren",,"encierres","encierre","encerremos","encerréis","encierren","encerrando","encerrado","encerrado"
"entender","entiendo","entiendes","entiende","entendemos","entendéis","entienden","entendía","entendías","entendía","entendíamos","entendíais","entendían","entendí","entendiste","entendió","entendimos","entendisteis","entendieron","entenderé","entenderás","entenderá","entenderemos","entenderéis","entenderán","entendería","entenderías","entendería","entenderíamos","entenderíais","entenderían","entienda","entiendas","entienda","entendamos","entendáis","entiendan","entendiera","entendieras","entendiera","entendiéramos","entendierais","entendieran",,"entiende","entienda","entendamos","entended","entiendan",,"entiendas","entienda","entendamos","entendáis","entiendan","entendiendo","entendido","entendido"
"errar","yerro","yerras","yerra","erramos","erráis","yerran","erraba","errabas","erraba","errábamos","errabais","erraban","erré","erraste","erró","erramos","errasteis","erraron","erraré","errarás","errará","erraremos","erraréis","errarán","erraría","errarías","erraría","erraríamos","erraríais","errarían","yerre","yerres","yerre","erremos","erréis","yerren","errara","erraras","errara","erráramos","errarais","erraran",,"yerra","yerre","erremos","errad","yerren",,"yerres","yerre","erremos","erréis","yerren","errando","errado","errado"
"fregar","friego","friegas","friega","fregamos","fregáis","friegan","fregaba","fregabas","fregaba","fregábamos","fregabais","fregaban","fregué","fregaste","fregó","fregamos","fregasteis","fregaron","fregaré","fregarás","fregará","fregaremos","fregaréis","fregarán","fregaría","fregarías","fregaría","fregaríamos","fregaríais","fregarían","friegue","friegues","friegue","freguemos","freguéis","frieguen","fregara","fregaras","fregara","fregáramos","fregarais","fregaran",,"friega","friegue","freguemos","fregad","frieguen",,"friegues","friegue","freguemos","freguéis","frieguen","fregando","fregado","fregado"
"gobernar","gobierno","gobiernas","gobierna","gobernamos","gobernáis","gobiernan","gobernaba","gobernabas","gobernaba","gobernábamos","gobernabais","gobernaban","goberné","gobernaste","gobernó","gobernamos","gobernasteis","gobernaron","gobernaré","gobernarás","gobernará","gobernaremos","gobernaréis","gobernarán","gobernaría","gobernarías","gobernaría","gobernaríamos","gobernaríais","gobernarían","gobierne","gobiernes","gobierne","gobernemos","gobernéis","gobiernen","gobernara","gobernaras","gobernara","gobernáramos","gobernarais","gobernaran",,"gobierna","gobierne","gobernemos","gobernad","gobiernen",,"gobiernes","gobierne","gobernemos","gobernéis","gobiernen","gobernando","gobernado","gobernado"
"helar",,,"hiela",,,,,,"helaba",,,,,,"heló",,,,,,"helará",,,,,,"helaría",,,,,,"hiele",,,,,,"helara",,,,,,"hiele",,,,,,"hiele",,,,"helando","helado","helado"
"mantener","mantengo","mantienes","mantiene","mantenemos","mantenéis","mantienen","mantenía","mantenías","mantenía","manteníamos","manteníais","mantenían","mantuve","mantuviste","mantuvo","mantuvimos","mantuvisteis","mantuvieron","mantendré","mantendrás","mantendrá","mantendremos","mantendréis","mantendrán","mantendría","mantendrías","mantendría","mantendríamos","mantendríais","mantendrían","mantenga","mantengas","mantenga","mantengamos","mantengáis","mantengan","mantuviera","mantuvieras","mantuviera","mantuviéramos","mantuvierais","mantuvieran",,"mantén","mantenga","mantengamos","mantened","mantengan",,"mantengas","mantenga","mantengamos","mantengáis","mantengan","manteniendo","mantenido","mantenido"
"negar","niego","niegas","niega","negamos","negáis","niegan","negaba","negabas","negaba","negábamos","negabais","negaban","negué","negaste","negó","negamos","negasteis","negaron","negaré","negarás","negará","negaremos","negaréis","negarán","negaría","negarías","negaría","negaríamos","negaríais","negarían","niegue","niegues","niegue","neguemos","neguéis","nieguen","negara","negaras","negara","negáramos","negarais","negaran",,"niega","niegue","neguemos","negad","nieguen",,"niegues","niegue","neguemos","neguéis","nieguen","negando","negado","negado"
"nevar",,,"nieva",,,,,,"nevaba",,,,,,"nevó",,,,,,"nevará",,,,,,"nevaría",,,,,,"nieve",,,,,,"nevara",,,,,,"nieve",,,,,,"nieve",,,,"nevando","nevado","nevado"
"obtener","obtengo","obtienes","obtiene","obtenemos","obtenéis","obtienen","obtenía","obtenías","obtenía","obteníamos","obteníais","obtenían","obtuve","obtuviste","obtuvo","obtuvimos","obtuvisteis","obtuvieron","obtendré","obtendrás","obtendrá","obtendremos","obtendréis","obtendrán","obtendría","obtendrías","obtendría","obtendríamos","obtendríais","obtendrían","obtenga","obtengas","obtenga","obtengamos","obtengáis","obtengan","obtuviera","obtuvieras","obtuviera","obtuviéramos","obtuvierais","obtuvieran",,"obtén","obtenga","obtengamos","obtened","obtengan",,"obtengas","obtenga","obtengamos","obtengáis","obtengan","obteniendo","obtenido","obtenido"
"pensar","pienso","piensas","piensa","pensamos","pensáis","piensan","pensaba","pensabas","pensaba","pensábamos","pensabais","pensaban","pensé","pensaste","pensó","pensamos","pensasteis","pensaron","pensaré","pensarás","pensará","pensaremos","pensaréis","pensarán","pensaría","pensarías","pensaría","pensaríamos","pensaríais","pensarían","piense","pienses","piense","pensemos","penséis","piensen","pensara","pensaras","pensara","pensáramos","pensarais","pensaran",,"piensa","piense","pensemos","pensad","piensen",,"pienses","piense","pensemos","penséis","piensen","pensando","pensado","pensado"
"perder","pierdo","pierdes","pierde","perdemos","perdéis","pierden","perdía","perdías","perdía","perdíamos","perdíais","perdían","perdí","perdiste","perdió","perdimos","perdisteis","perdieron","perderé","perderás","perderá","perderemos","perderéis","perderán","perdería","perderías","perdería","perderíamos","perderíais","perderían","pierda","pierdas","pierda","perdamos","perdáis","pierdan","perdiera","perdieras","perdiera","perdiéramos","perdierais","perdieran",,"pierde","pierda","perdamos","perded","pierdan",,"pierdas","pierda","perdamos","perdáis","pierdan","perdiendo","perdido","perdido"
"querer","quiero","quieres","quiere","queremos","queréis","quieren","quería","querías","quería","queríamos","queríais","querían","quise","quisiste","quiso","quisimos","quisisteis","quisieron","querré","querrás","querrá","querremos","querréis","querrán","querría","querrías","querría","querríamos","querríais","querrían","quiera","quieras","quiera","queramos","queráis","quieran","quisiera","quisieras","quisiera","quisiéramos","quisierais","quisieran",,"quiere","quiera","queramos","quered","quieran",,"quieras","quiera","queramos","queráis","quieran","queriendo","querido","querido"
"recomendar","recomiendo","recomiendas","recomienda","recomendamos","recomendáis","recomiendan","recomendaba","recomendabas","recomendaba","recomendábamos","recomendabais","recomendaban","recomendé","recomendaste","recomendó","recomendamos","recomendasteis","recomendaron","recomendaré","recomendarás","recomendará","recomendaremos","recomendaréis","recomendarán","recomendaría","recomendarías","recomendaría","recomendaríamos","recomendaríais","recomendarían","recomiende","recomiendes","recomiende","recomendemos","recomendéis","recomienden","recomendara","recomendaras","recomendara","recomendáramos","recomendarais","recomendaran",,"recomienda","recomiende","recomendemos","recomendad","recomienden",,"recomiendes","recomiende","recomendemos","recomendéis","recomienden","recomendando","recomendado","recomendado"
"regar","riego","riegas","riega","regamos","regáis","riegan","regaba","regabas","regaba","regábamos","regabais","regaban","regué","regaste","regó","regamos","regasteis","regaron","regaré","regarás","regará","regaremos","regaréis","regarán","regaría","regarías","regaría","regaríamos","regaríais","regarían","riegue","riegues","riegue","reguemos","reguéis","rieguen","regara","regaras","regara","regáramos","regarais","regaran",,"riega","riegue","reguemos","regad","rieguen",,"riegues","riegue","reguemos","reguéis","rieguen","regando","regado","regado"
"sentarse","siento","sientas","sienta","sentamos","sentáis","sientan","sentaba","sentabas","sentaba","sentábamos","sentabais","sentaban","senté","sentaste","sentó","sentamos","sentasteis","sentaron","sentaré","sentarás","sentará","sentaremos","sentaréis","sentarán","sentaría","sentarías","sentaría","sentaríamos","sentaríais","sentarían","siente","sientes","siente","sentemos","sentéis","sienten","sentara","sentaras","sentara","sentáramos","sentarais","sentaran",,"siéntate","siéntese","sentémonos","sentaos","siéntense",,"te sientes","siéntese","sentémonos","os sentéis","siéntense","sentando","sentado","sentado"
"sostener","sostengo","sostienes","sostiene","sostenemos","sostenéis","sostienen","sostenía","sostenías","sostenía","sosteníamos","sosteníais","sostenían","sostuve","sostuviste","sostuvo","sostuvimos","sostuvisteis","sostuvieron","sostendré","sostendrás","sostendrá","sostendremos","sostendréis","sostendrán","sostendría","sostendrías","sostendría","sostendríamos","sostendríais","sostendrían","sostenga","sostengas","sostenga","sostengamos","sostengáis","sostengan","sostuviera","sostuvieras","sostuviera","sostuviéramos","sostuvierais","sostuvieran",,"sostén","sostenga","sostengamos","sostened","sostengan",,"sostengas","sostenga","sostengamos","sostengáis","sostengan","sosteniendo","sostenido","sostenido"
"temblar","tiemblo","tiemblas","tiembla","temblamos","tembláis","tiemblan","temblaba","temblabas","temblaba","temblábamos","temblabais","temblaban","temblé","temblaste","tembló","temblamos","temblasteis","temblaron","temblaré","temblarás","temblará","temblaremos","temblaréis","temblarán","temblaría","temblarías","temblaría","temblaríamos","temblaríais","temblarían","tiemble","tiembles","tiemble","temblemos","tembléis","tiemblen","temblara","temblaras","temblara","tembláramos","temblarais","temblaran",,"tiembla","tiemble","temblemos","temblad","tiemblen",,"tiembles","tiemble","temblemos","tembléis","tiemblen","temblando","temblado","temblado"
"tender","tiendo","tiendes","tiende","tendemos","tendéis","tienden","tendía","tendías","tendía","tendíamos","tendíais","tendían","tendí","tendiste","tendió","tendimos","tendisteis","tendieron","tenderé","tenderás","tenderá","tenderemos","tenderéis","tenderán","tendería","tenderías","tendería","tenderíamos","tenderíais","tenderían","tienda","tiendas","tienda","tendamos","tendáis","tiendan","tendiera","tendieras","tendiera","tendiéramos","tendierais","tendieran",,"tiende","tienda","tendamos","tended","tiendan",,"tiendas","tienda","tendamos","tendáis","tiendan","tendiendo","tendido","tendido"
"tener","tengo","tienes","tiene","tenemos","tenéis","tienen","tenía","tenías","tenía","teníamos","teníais","tenían","tuve","tuviste","tuvo","tuvimos","tuvisteis","tuvieron","tendré","tendrás","tendrá","tendremos","tendréis","tendrán","tendría","tendrías","tendría","tendríamos","tendríais","tendrían","tenga","tengas","tenga","tengamos","tengáis","tengan","tuviera","tuvieras","tuviera","tuviéramos","tuvierais","tuvieran",,"ten","tenga","tengamos","tened","tengan",,"tengas","tenga","tengamos","tengáis","tengan","teniendo","tenido","tenido"
"tentar","tiento","tientas","tienta","tentamos","tentáis","tientan","tentaba","tentabas","tentaba","tentábamos","tentabais","tentaban","tenté","tentaste","tentó","tentamos","tentasteis","tentaron","tentaré","tentarás","tentará","tentaremos","tentaréis","tentarán","tentaría","tentarías","tentaría","tentaríamos","tentaríais","tentarían","tiente","tientes","tiente","tentemos","tentéis","tienten","tentara","tentaras","tentara","tentáramos","tentarais","tentaran",,"tienta","tiente","tentemos","tentad","tienten",,"tientes","tiente","tentemos","tentéis","tienten","tentando","tentado","tentado"
"tropezar","tropiezo","tropiezas","tropieza","tropezamos","tropezáis","tropiezan","tropezaba","tropezabas","tropezaba","tropezábamos","tropezabais","tropezaban","tropecé","tropezaste","tropezó","tropezamos","tropezasteis","tropezaron","tropezaré","tropezarás","tropezará","tropezaremos","tropezaréis","tropezarán","tropezaría","tropezarías","tropezaría","tropezaríamos","tropezaríais","tropezarían","tropiece","tropieces","tropiece","tropecemos","tropecéis","tropiecen","tropezara","tropezaras","tropezara","tropezáramos","tropezarais","tropezaran",,"tropieza","tropiece","tropecemos","tropezad","tropiecen",,"tropieces","tropiece","tropecemos","tropecéis","tropiecen","tropezando","tropezado","tropezado"
"venir","vengo","vienes","viene","venimos","venís","vienen","venía","venías","venía","veníamos","veníais","venían","vine","viniste","vino","vinimos","vinisteis","vinieron","vendré","vendrás","vendrá","vendremos","vendréis","vendrán","vendría","vendrías","vendría","vendríamos","vendríais","vendrían","venga","vengas","venga","vengamos","vengáis","vengan","viniera","vinieras","viniera","viniéramos","vinierais","vinieran",,"viene","venga","vengamos","venid","vengan",,"vengas","venga","vengamos","vengáis","vengan","viniendo","venido","venido"
"despertar","despierto","despiertas","despierta","despertamos","despertáis","despiertan","despertaba","despertabas","despertaba","despertábamos","despertabais","despertaban","desperté","despertaste","despertó","despertamos","despertasteis","despertaron","despertaré","despertarás","despertará","despertaremos","despertaréis","despertarán","despertaría","despertarías","despertaría","despertaríamos","despertaríais","despertarían","despierte","despiertes","despierte","despertemos","despertéis","despierten","despertara","despertaras","despertara","despertáramos","despertarais","despertaran",,"despierta","despierte","despertemos","despertad","despierten",,"despiertes","despierte","despertemos","despertéis","despierten","despertando","despertado","despertado"
"travesar","travieso","traviesas","traviesa","travesamos","travesáis","traviesan","travesaba","travesabas","travesaba","travesábamos","travesabais","travesaban","travesé","travesaste","travesó","travesamos","travesasteis","travesaron","travesaré","travesarás","travesará","travesaremos","travesaréis","travesarán","travesaría","travesarías","travesaría","travesaríamos","travesaríais","travesarían","traviese","travieses","traviese","travesemos","traveséis","traviesen","travesara","travesaras","travesara","travesáramos","travesarais","travesaran",,"traviesa","traviese","travesemos","travesad","traviesen",,"travieses","traviese","travesemos","traveséis","traviesen","travesando","travesado","travesado"
